Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;Marine Addy, Lisette Batista, Mara Bruchez, Cilette Cretton, Jennifer Grinzinger, Marion Mabillard, Odile Maury, Catherine Rebord, Véronique Zumstein;Léonard Bender, Antoine Conforti, Etienne Coquoz, Tiago Gomez, Johann Roduit;7587cd03-5408-4709-8b29-31ad7cf7c36f
Voix recues lors de la primaire;Marie-Bertrande Duay;;c1586a43-7537-4de1-94bd-b82bc176d265
Voix recues lors de la primaire;Marine Addy, Mara Bruchez;Antoine Conforti;1fcf4939-099f-4015-83f1-4cf8127818ba
ordre alphabetique;Marine Addy, Jennifer Grinzinger, Marion Mabillard, Loise Pignat;Johann Roduit;e4e1e4e1-2c88-46d1-8387-b61063e35ce2
ordre alphabetique;Marion Mabillard;;3a9f85eb-1632-49ff-af60-2342f78392ac
Voix recues lors de la primaire;;Johann Roduit;d8873444-46af-47f0-b0c8-e07b50f0ad46
ordre alphabetique;Cilette Cretton, Jennifer Grinzinger, Catherine Rebord;Léonard Bender, Antoine Conforti, Johann Roduit;cadc17d7-0fdb-4a20-bf0c-dbe1b1b69428
ordre alphabetique;Marion Mabillard;Léonard Bender;11d5d824-afc9-4f51-9eb2-f3f6fca1c0ee
ordre alphabetique;Marine Addy;Etienne Coquoz;04c46997-857f-4706-9340-6ca8d59513bc
Voix recues lors de la primaire;Marion Mabillard;Antoine Conforti;38536ed5-48d4-487b-84f4-2479c5fa38b1
representativite inverse du Grand Conseil actuel;Marion Mabillard;;d2a2e81a-625f-45f0-8faf-229d7913c891
ordre alphabetique;Cilette Cretton, Marion Mabillard;;136902fa-0450-47b0-a458-284958534aea
Voix recues lors de la primaire;Michelle Grandjean Böhm;;5c794c21-f515-40ba-918f-fc00acbaa1cb
Tirage au sort;Lisette Batista, Jennifer Grinzinger;Tiago Gomez, Johann Roduit;c0e2a74e-d9b9-4524-8d9e-e8aafa083fb3
Tirage au sort;Marion Mabillard;Johann Roduit;b46a4a02-4ce2-42c4-b93f-1c94b80ef833
Je mabstiens de repondre a cette question;Marion Mabillard;Léonard Bender;efe6b6ec-baf7-420d-802b-20824b66a3e0
Voix recues lors de la primaire;Mirca Sigrist;Léonard Bender;19eeb41f-a0c1-448f-b4cd-ada35f53efad
ordre alphabetique;Mara Bruchez, Cilette Cretton, Loise Pignat;Antoine Conforti, Etienne Coquoz;3355dba8-194b-4a53-988a-744af4fb4503
