Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Je mabstiens de repondre a cette question;Christel Rey-Mermet;Jörg Rickenmann;de23493c-c3e8-4419-a6e2-d80a62f53f1d
Tirage au sort;Stéphanie Dubosson, Caroline Mariétan;Jérome Lehmann;6b3adf28-b891-4227-9e7b-63aa688f799f
representativite inverse du Grand Conseil actuel;Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Ekaterina Lenoir, Caroline Mariétan, Yasmina Mudry, Claudine Oggier, Christel Rey-Mermet;Thierry Bueche, Didier Cachat, Bertrand Girard, Bernard Oberholzer, Yves Puippe, Joël Rey-Mermet, Johan Rochel, Christian Vial;2a49266c-4115-4ecd-be09-57979921cef6
Voix recues lors de la primaire;Christel Rey-Mermet;Johan Rochel;a6a92612-442a-45b0-a20c-efe26db6880d
Je Mabstiens de repondre a cette question;Aferdita Bogiqi, Caroline Mariétan, Christel Rey-Mermet;Bertrand Girard, Johan Rochel;f719749c-e782-4c5d-a7a4-524009195164
Voix recues lors de la primaire;Sophie Ducrey;;0535cec5-8604-470b-8951-185f19c9241a
Tirage au sort;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Hélène Gonet, Ekaterina Lenoir, Caroline Mariétan, Yasmina Mudry, Christel Rey-Mermet;Robert Burri, Bertrand Girard, Matthieu Monnard, Nicolas Muzzetto, Jo Piller, Jörg Rickenmann, Johan Rochel, Christian Vial;d3cb2e9f-e249-4a24-979c-789599552097
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Claudine Oggier, Christel Rey-Mermet;Jérome Lehmann, Matthieu Monnard, Bernard Oberholzer, Jo Piller, Johan Rochel, Christian Vial;fe7abc34-925a-4ed3-9d42-25db3911aa72
Voix recues lors de la primaire;;Jérome Lehmann;104a2a12-e255-4e19-965a-8d07381884b1
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Sophie Ducrey, Françoise Gay-Truffer, Yasmina Mudry;Bernard Oberholzer, Jo Piller, Natan Rippa, Johan Rochel;f7c58d3b-c3e5-445e-9f3d-4f6d278d6691
Tirage au sort;;Natan Rippa;f9d5e1e3-2412-4fcf-a197-688b305797fb
Je Mabstiens de repondre a cette question;;André Bonvin, Bertrand Girard, Natan Rippa;4d366cf3-a8a1-4375-888e-2b88a95af0f2
representativite inverse du Grand Conseil actuel;Christel Rey-Mermet;Jo Piller;fdac6e03-793b-4a48-844e-8a1ce286d1c5
Je Mabstiens de repondre a cette question;Catherine Breu;Didier Cachat, Bertrand Girard, Jérome Lehmann, Johan Rochel, Christian Vial;23e1268a-bc64-4d50-815a-7da542aedd75
representativite inverse du Grand Conseil actuel;Hélène Gonet;Thierry Bueche, Johan Rochel;1e1ae6e1-e706-4474-a0b1-6e7f83bd1b48
ordre alphabetique;Aferdita Bogiqi, Stéphanie Dubosson, Caroline Mariétan;Thierry Bueche, Didier Cachat, Bertrand Girard, Bernard Oberholzer, Johan Rochel;9f3217bd-c3b1-46b2-9707-31a88c85aef1
representativite inverse du Grand Conseil actuel;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Ekaterina Lenoir, Amel Mahfoudh, Caroline Mariétan, Claudine Oggier, Christel Rey-Mermet;Thierry Bueche, Bertrand Girard, Matthieu Monnard, Jo Piller, Joël Rey-Mermet, Natan Rippa, Johan Rochel, Christian Vial;a99b7298-9534-4e16-9a6a-063c358c0065
ordre alphabetique;Christel Rey-Mermet;Bertrand Girard, Johan Rochel;c550b52e-90b0-4e3c-8cf8-6125ba0b2205
Tirage au sort;;Christian Vial;3917119a-15a3-41d2-879d-d5dd803d768f
Voix recues lors de la primaire;Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Ekaterina Lenoir, Amel Mahfoudh, Yasmina Mudry, Claudine Oggier, Christel Rey-Mermet;Thierry Bueche, Jérome Lehmann, Bernard Oberholzer, Yves Puippe, Joël Rey-Mermet, Jörg Rickenmann, Johan Rochel, Christian Vial;a674685d-5462-4f87-a222-1806dba72d19
Voix recues lors de la primaire;Catherine Breu, Françoise Gay-Truffer;Bernard Oberholzer, Johan Rochel;672437fd-3331-45f0-92a0-761bf1338ba9
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Françoise Gay-Truffer, Claudine Oggier, Christel Rey-Mermet;Didier Cachat, Bertrand Girard, Matthieu Monnard, Bernard Oberholzer, Natan Rippa, Johan Rochel;b746b916-eea7-4283-92ca-7e097f526de7
Voix recues lors de la primaire;Françoise Gay-Truffer;André Bonvin, Robert Burri, Bertrand Girard, Natan Rippa, Johan Rochel;b276ad92-73e4-4ede-91e2-76673aa3ca11
Tirage au sort;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Caroline Mariétan, Christel Rey-Mermet;Didier Cachat, Bertrand Girard, Matthieu Monnard, Bernard Oberholzer, Jo Piller, Natan Rippa, Johan Rochel, Christian Vial;f12409b5-b17d-4de8-8387-8a72d2a78165
Voix recues lors de la primaire;Sophie Ducrey;;9c05009c-71d9-4b9b-9262-69e413fd190e
